"age_group","outcome","est","se",".imp","method"
"30–39","Severe",0.0428398567320635,0.00424039501412324,1,"CART"
"40–49","Severe",0.097752011231865,0.00821386346770446,1,"CART"
"50–59","Severe",0.161257332243064,0.00981549367817531,1,"CART"
"60–69","Severe",0.169950827403825,0.0156260384102294,1,"CART"
"70–79","Severe",0.179534822615864,0.0162263690162091,1,"CART"
"80+","Severe",0.204777772688095,0.0205516166504798,1,"CART"
"30–39","Mod+Sev",0.237595241486031,0.0160314961164285,1,"CART"
"40–49","Mod+Sev",0.35891022084671,0.0172426546902894,1,"CART"
"50–59","Mod+Sev",0.491293158046636,0.0184823341529359,1,"CART"
"60–69","Mod+Sev",0.560939386552008,0.0205699945017248,1,"CART"
"70–79","Mod+Sev",0.66316846411075,0.0224333568385149,1,"CART"
"80+","Mod+Sev",0.787432441953424,0.0236960531144633,1,"CART"
"30–39","Severe",0.044954701920507,0.00421049601646514,2,"CART"
"40–49","Severe",0.102938475348588,0.00889295793131483,2,"CART"
"50–59","Severe",0.152334709094638,0.0104480932005614,2,"CART"
"60–69","Severe",0.179497071580927,0.015006069094425,2,"CART"
"70–79","Severe",0.189654756358626,0.0138156818030567,2,"CART"
"80+","Severe",0.196195007366895,0.0222907117182461,2,"CART"
"30–39","Mod+Sev",0.238109912495641,0.0153836681127718,2,"CART"
"40–49","Mod+Sev",0.35503413950274,0.0169444855264931,2,"CART"
"50–59","Mod+Sev",0.48109265985395,0.0177947446598493,2,"CART"
"60–69","Mod+Sev",0.560162528635531,0.0215848779989078,2,"CART"
"70–79","Mod+Sev",0.666063869659317,0.0257843552071312,2,"CART"
"80+","Mod+Sev",0.785831934293153,0.025543834720659,2,"CART"
"30–39","Severe",0.0421175805541259,0.00401561418195655,3,"CART"
"40–49","Severe",0.102606789881595,0.00870684503730899,3,"CART"
"50–59","Severe",0.159346845759878,0.0101753801585511,3,"CART"
"60–69","Severe",0.174654402062749,0.0152691981867224,3,"CART"
"70–79","Severe",0.178923731524646,0.0150886000598594,3,"CART"
"80+","Severe",0.18258283803444,0.0224017901573635,3,"CART"
"30–39","Mod+Sev",0.235745454642739,0.0143597639839674,3,"CART"
"40–49","Mod+Sev",0.358272801104995,0.0165741290229561,3,"CART"
"50–59","Mod+Sev",0.484415765027794,0.0195085279841681,3,"CART"
"60–69","Mod+Sev",0.562741482530599,0.0202686265722503,3,"CART"
"70–79","Mod+Sev",0.677331148501308,0.0245333293347358,3,"CART"
"80+","Mod+Sev",0.781752314405075,0.0256797892748412,3,"CART"
"30–39","Severe",0.0418947625578761,0.00419354428430612,4,"CART"
"40–49","Severe",0.107499944506751,0.00868711105590466,4,"CART"
"50–59","Severe",0.156583222642731,0.0111849199315325,4,"CART"
"60–69","Severe",0.167231261250982,0.0148655766762351,4,"CART"
"70–79","Severe",0.175816430384145,0.0153017295628671,4,"CART"
"80+","Severe",0.208899468202209,0.0260448990625019,4,"CART"
"30–39","Mod+Sev",0.236606731689887,0.014892249954039,4,"CART"
"40–49","Mod+Sev",0.358770748957966,0.0170482745173116,4,"CART"
"50–59","Mod+Sev",0.486353384203454,0.019904286666586,4,"CART"
"60–69","Mod+Sev",0.559421025360196,0.0208115622469037,4,"CART"
"70–79","Mod+Sev",0.662832680866201,0.025177874200004,4,"CART"
"80+","Mod+Sev",0.798487452235636,0.0231635137136437,4,"CART"
"30–39","Severe",0.0403833623609426,0.00389066739336749,5,"CART"
"40–49","Severe",0.0993689872529391,0.00847263150315465,5,"CART"
"50–59","Severe",0.160432825781311,0.0105776923424152,5,"CART"
"60–69","Severe",0.180708330113286,0.0151046286521231,5,"CART"
"70–79","Severe",0.172631175989051,0.0162668503965067,5,"CART"
"80+","Severe",0.193536812100396,0.0240897021951932,5,"CART"
"30–39","Mod+Sev",0.233309207383562,0.014636610088882,5,"CART"
"40–49","Mod+Sev",0.354277644246277,0.0162450318040776,5,"CART"
"50–59","Mod+Sev",0.47964007000015,0.0181880028876507,5,"CART"
"60–69","Mod+Sev",0.571705167505483,0.0203548636548982,5,"CART"
"70–79","Mod+Sev",0.66211366177968,0.0241235495468724,5,"CART"
"80+","Mod+Sev",0.787412120355293,0.0228878925338989,5,"CART"
"30–39","Severe",0.0421672072381295,0.00383153639903189,6,"CART"
"40–49","Severe",0.101732845743077,0.00869074282498008,6,"CART"
"50–59","Severe",0.159806744870286,0.0103447051794223,6,"CART"
"60–69","Severe",0.179168034653187,0.0143295563710219,6,"CART"
"70–79","Severe",0.182699601868963,0.0153430920731745,6,"CART"
"80+","Severe",0.203849941742842,0.0229266721669292,6,"CART"
"30–39","Mod+Sev",0.240472828512008,0.0145523311266169,6,"CART"
"40–49","Mod+Sev",0.354905886156004,0.0165897973684761,6,"CART"
"50–59","Mod+Sev",0.476432807882989,0.0185300034050939,6,"CART"
"60–69","Mod+Sev",0.565060052367002,0.0212558849562796,6,"CART"
"70–79","Mod+Sev",0.668867091030933,0.021256572975831,6,"CART"
"80+","Mod+Sev",0.800695102955957,0.02549888892064,6,"CART"
"30–39","Severe",0.0422778871530742,0.00425368656948509,7,"CART"
"40–49","Severe",0.102067656259049,0.00819509600926519,7,"CART"
"50–59","Severe",0.155253942164865,0.0105451972293952,7,"CART"
"60–69","Severe",0.16819582791918,0.0173062997937661,7,"CART"
"70–79","Severe",0.169509000981832,0.0154610505006223,7,"CART"
"80+","Severe",0.182447982577201,0.0227478011007228,7,"CART"
"30–39","Mod+Sev",0.230795180442947,0.0153382819851815,7,"CART"
"40–49","Mod+Sev",0.361318510791904,0.0165217189203949,7,"CART"
"50–59","Mod+Sev",0.477715229867772,0.0177786482186432,7,"CART"
"60–69","Mod+Sev",0.556651260733587,0.0210089599721858,7,"CART"
"70–79","Mod+Sev",0.667645679179218,0.0219029409312487,7,"CART"
"80+","Mod+Sev",0.80348137823936,0.0236786895127786,7,"CART"
"30–39","Severe",0.0435181892328283,0.00397745538658797,8,"CART"
"40–49","Severe",0.102137848361896,0.00858872638707533,8,"CART"
"50–59","Severe",0.157897346909753,0.0102310357630514,8,"CART"
"60–69","Severe",0.183773815808603,0.0165863573170244,8,"CART"
"70–79","Severe",0.180535810373122,0.0133127864191288,8,"CART"
"80+","Severe",0.198911246501056,0.024359063051965,8,"CART"
"30–39","Mod+Sev",0.239723036593474,0.0151628187904967,8,"CART"
"40–49","Mod+Sev",0.358838887265165,0.0170440136619034,8,"CART"
"50–59","Mod+Sev",0.484218793180283,0.0194884898741482,8,"CART"
"60–69","Mod+Sev",0.558235431075315,0.0214710856680943,8,"CART"
"70–79","Mod+Sev",0.670391026808497,0.0214949016879026,8,"CART"
"80+","Mod+Sev",0.7893484343542,0.0228909947456953,8,"CART"
"30–39","Severe",0.040644246085831,0.0035881851831331,9,"CART"
"40–49","Severe",0.100336235941621,0.00823646388402721,9,"CART"
"50–59","Severe",0.157990836825025,0.0113578401645642,9,"CART"
"60–69","Severe",0.180560588467212,0.0153925891495858,9,"CART"
"70–79","Severe",0.173783913813597,0.0147286643856548,9,"CART"
"80+","Severe",0.194062356677012,0.0240947723780429,9,"CART"
"30–39","Mod+Sev",0.234596165136646,0.0152738052533057,9,"CART"
"40–49","Mod+Sev",0.360777254210351,0.0168372966868626,9,"CART"
"50–59","Mod+Sev",0.484411502391152,0.0200218549052356,9,"CART"
"60–69","Mod+Sev",0.567274593595353,0.0211360837041493,9,"CART"
"70–79","Mod+Sev",0.673572055359028,0.0263023231053936,9,"CART"
